Small network of reactions H,D,T,He3,He4,Be7,Li7 09/05/2018 updated
!==================================================================================
! T9 grid = CF88 = NACRE = ...
! 1ere ligne : *- ..... = code de la reaction
! 2eme ligne : *% ..... = reference
! 3eme ligne :    Q, rev ratio : ca*T9**ce*exp(cb/T9) 
! ligne 4 a 63 : t9, exp(mu), exp(sigma) commencent par '  ' !!
! exp(mu) = sqrt(svh*svl), exp(sigma) = sqrt(svh/svl) calacule par bru2cdg.f 
!==================================================================================
*- n + p > d + g ;
*%And06
! Ando et al. PRC 74 (2006) 025809 A. Coc 12/09/06 -> 20/07/07  
! Calcule avec npg_sv.f dans /Users/acoc/phys/netw2010
   2.22457 4.71614e+09 1.5 -25.815 
#     3.500    1.9138E+03    1.0384E+00
#     4.000    2.2441E+03    1.0389E+00
#     5.000    2.9050E+03    1.0403E+00
#     6.000    3.5570E+03    1.0420E+00
#     7.000    4.1936E+03    1.0438E+00
#     8.000    4.8119E+03    1.0455E+00
#     9.000    5.4103E+03    1.0471E+00
#    10.000    5.9883E+03    1.0485E+00
#*%DAACV04
# 5.493 1.6349E+10 1.5 -63.7518
#     0.001    1.4317E-11    1.0372E+00
#     0.002    1.9830E-08    1.0357E+00
#     0.003    6.4306E-07    1.0344E+00
#     0.004    5.6954E-06    1.0334E+00
#     0.005    2.6676E-05    1.0325E+00
#     0.006    8.6220E-05    1.0317E+00
#     0.007    2.1934E-04    1.0310E+00
#     0.008    4.7283E-04    1.0303E+00
#     0.009    9.0355E-04    1.0297E+00
#     0.010    1.5764E-03    1.0291E+00
#     0.011    2.5617E-03    1.0285E+00
#     0.012    3.9341E-03    1.0280E+00
#     0.013    5.7699E-03    1.0276E+00
#     0.014    8.1462E-03    1.0271E+00
#     0.015    1.1140E-02    1.0268E+00
#     0.016    1.4825E-02    1.0264E+00
#     0.018    2.4563E-02    1.0258E+00
#     0.020    3.7910E-02    1.0253E+00
#     0.025    9.0233E-02    1.0244E+00
#     0.030    1.7449E-01    1.0240E+00
#     0.040    4.5519E-01    1.0240E+00
#     0.050    8.9953E-01    1.0247E+00
#     0.060    1.5128E+00    1.0257E+00
#     0.070    2.2926E+00    1.0268E+00
#     0.080    3.2332E+00    1.0280E+00
#     0.090    4.3271E+00    1.0293E+00
#     0.100    5.5661E+00    1.0306E+00
#     0.110    6.9423E+00    1.0319E+00
#     0.120    8.4478E+00    1.0331E+00
#     0.130    1.0075E+01    1.0343E+00
#     0.140    1.1818E+01    1.0355E+00
#     0.150    1.3669E+01    1.0366E+00
#     0.160    1.5623E+01    1.0376E+00
#     0.180    1.9819E+01    1.0396E+00
#     0.200    2.4366E+01    1.0414E+00
#     0.250    3.7062E+01    1.0452E+00
#     0.300    5.1353E+01    1.0483E+00
#     0.350    6.6946E+01    1.0507E+00
#     0.400    8.3629E+01    1.0527E+00
#     0.450    1.0124E+02    1.0543E+00
#     0.500    1.1965E+02    1.0555E+00
#     0.600    1.5847E+02    1.0575E+00
#     0.700    1.9946E+02    1.0588E+00
#     0.800    2.4221E+02    1.0597E+00
#     0.900    2.8639E+02    1.0602E+00
