    0.0060    8.262E-05    1.037E+00
    0.0070    2.101E-04    1.037E+00
    0.0080    4.529E-04    1.037E+00
    0.0090    8.655E-04    1.037E+00
    0.0100    1.510E-03    1.037E+00
    0.0110    2.456E-03    1.037E+00
    0.0120    3.773E-03    1.037E+00
    0.0130    5.538E-03    1.037E+00
    0.0140    7.825E-03    1.037E+00
    0.0150    1.071E-02    1.037E+00
    0.0160    1.427E-02    1.037E+00
    0.0180    2.368E-02    1.037E+00
    0.0200    3.662E-02    1.037E+00
    0.0250    8.760E-02    1.037E+00
    0.0300    1.702E-01    1.037E+00
    0.0400    4.480E-01    1.037E+00
    0.0500    8.922E-01    1.037E+00
    0.0600    1.511E+00    1.037E+00
    0.0700    2.304E+00    1.037E+00
    0.0800    3.267E+00    1.037E+00
    0.0900    4.395E+00    1.037E+00
    0.1000    5.680E+00    1.037E+00
    0.1100    7.115E+00    1.037E+00
    0.1200    8.693E+00    1.037E+00
    0.1300    1.041E+01    1.037E+00
    0.1400    1.225E+01    1.037E+00
    0.1500    1.421E+01    1.037E+00
    0.1600    1.629E+01    1.037E+00
    0.1800    2.078E+01    1.037E+00
    0.2000    2.567E+01    1.037E+00
    0.2500    3.945E+01    1.037E+00
    0.3000    5.510E+01    1.037E+00
    0.3500    7.231E+01    1.037E+00
    0.4000    9.084E+01    1.037E+00
    0.4500    1.105E+02    1.037E+00
    0.5000    1.311E+02    1.037E+00
    0.6000    1.749E+02    1.037E+00
    0.7000    2.215E+02    1.037E+00
    0.8000    2.703E+02    1.037E+00
    0.9000    3.211E+02    1.037E+00
    1.0000    3.734E+02    1.037E+00
    1.2500    5.101E+02    1.037E+00
    1.5000    6.534E+02    1.037E+00
    1.7500    8.017E+02    1.037E+00
    2.0000    9.540E+02    1.037E+00
    2.5000    1.268E+03    1.037E+00
    3.0000    1.590E+03    1.037E+00
    3.5000    1.916E+03    1.037E+00
    4.0000    2.241E+03    1.037E+00
    5.0000    2.905E+03    1.040E+00
    6.0000    3.557E+03    1.042E+00
