DeltaNeff,H,Yp,D/H,3He/H,7Li/H
-1.,0.7674873320410845,0.23245653098390584,0.00002121014943494912,0.000010171603426939155,2.4027464758886975e-11
-0.9,0.7659146026519131,0.23402873643650587,0.000021549481743271905,0.000010222328084096769,2.457238058835548e-11
-0.8,0.7643683043803124,0.2355745129682524,0.000021888354129775093,0.000010272683760923326,2.5117037700227095e-11
-0.7,0.7628475009631795,0.2370947968170739,0.00002222677302252473,0.0000103226751697904,2.566141122070945e-11
-0.6,0.7613513259729222,0.23859045431175588,0.00002256477659612185,0.000010372317186519688,2.6205504660823704e-11
-0.5,0.7598789595548561,0.24006230532141576,0.00002290235152451271,0.00001042160966022821,2.6749281134134186e-11
-0.4,0.758429626924485,0.24151112449936163,0.000023239550705099895,0.000010470571796045752,2.7292756926964888e-11
-0.3,0.7570026056020712,0.24293763433494242,0.00002357636284964053,0.000010519203586934942,2.7835901285136757e-11
-0.2,0.7555972056809146,0.24434252467131204,0.00002391280992902619,0.000010567514999962425,2.837871286600812e-11
-0.1,0.754212773980627,0.24572644863776572,0.000024248909901868816,0.00001061551316101361,2.8921192079387575e-11
0.,0.7528486828008244,0.247090033902177,0.000024584670148863018,0.000010663204314551476,2.9463328078643605e-11
0.1,0.751504349700172,0.24843386284152078,0.00002492011408815187,0.000010710597520604529,3.00051282381851e-11
0.2,0.7501792052111234,0.24975850489083187,0.000025255251872853423,0.000010757697195528115,3.054659689508285e-11
0.3,0.7488727136225369,0.25106449573102696,0.000025590088926513597,0.000010804509633443745,3.108772119880151e-11
0.4,0.7475843560470691,0.25235235417820756,0.00002592465499933852,0.000010851043408612738,3.162852649949008e-11
0.5,0.7463136449436215,0.25362256778486647,0.000026258936745763557,0.000010897298886364456,3.216899581169439e-11
0.6,0.7450601064650325,0.2548756103090389,0.000026592970604560332,0.000010943288217355054,3.27091519641779e-11
0.7,0.7438232892138191,0.25611193313218206,0.000026926759461929508,0.000010989013404133122,3.3249002473222875e-11
0.8,0.7426027578280621,0.25733197161858673,0.000027260295028001002,0.000011034475804581356,3.3788538747550756e-11
0.9,0.7413980995313997,0.25853613844112056,0.000027593623069554577,0.000011079687881959627,3.432780249118666e-11
1.,0.7402089144845316,0.25972483346943387,0.000027926720819747708,0.000011124648181194638,3.486676971014884e-11
