DeltaNeff,H,Yp,D/H,3He/H,7Li/H
0.,0.7527878127891496,0.24715087112838588,0.00002460523017122726,0.000010666139451141562,2.949310319123546e-11
0.1,0.7514607752474337,0.2484774091768358,0.000024937425820971086,0.000010713059274535178,3.002911003741972e-11
0.2,0.750152264619525,0.24978542203331192,0.00002526931188689651,0.00001075968996411701,3.056480732709521e-11
0.3,0.7488617649688442,0.2510754255586341,0.00002560092023894626,0.000010806040579720171,3.110021622874125e-11
0.4,0.7475888278056261,0.252347868240294,0.000025932240473130495,0.000010852114242059655,3.1635312564991e-11
0.5,0.7463329818208599,0.25360322131297497,0.000026263303048712233,0.000010897920408217872,3.217011518205786e-11
0.6,0.7450937878422853,0.2548419239670434,0.000026594093922934137,0.000010943456708765445,3.2704618073117374e-11
0.7,0.7438708369413554,0.25606438497253187,0.000026924681043491027,0.00001098874441579721,3.323886014688626e-11
0.8,0.7426637131678078,0.2572710203576458,0.000027255023912662878,0.000011033772685218254,3.3772819413321585e-11
0.9,0.741472020607673,0.25846222595978396,0.000027585150007545893,0.000011078554212301707,3.430651613521958e-11
1.,0.7402953833234134,0.259638377745062,0.00002791503941721782,0.000011123086091124293,3.48399310591331e-11
