DeltaNeff,H,Yp,D/H,3He/H,7Li/H
0.,0.7528486828008244,0.247090033902177,0.000024584670148863018,0.000010663204314551476,2.9463328078643605e-11
0.1,0.751504349700172,0.24843386284152078,0.00002492011408815187,0.000010710597520604529,3.00051282381851e-11
0.2,0.7501792052111234,0.24975850489083187,0.000025255251872853423,0.000010757697195528115,3.054659689508285e-11
0.3,0.7488727136225369,0.25106449573102696,0.000025590088926513597,0.000010804509633443745,3.108772119880151e-11
0.4,0.7475843560470691,0.25235235417820756,0.00002592465499933852,0.000010851043408612738,3.162852649949008e-11
0.5,0.7463136449436215,0.25362256778486647,0.000026258936745763557,0.000010897298886364456,3.216899581169439e-11
0.6,0.7450601064650325,0.2548756103090389,0.000026592970604560332,0.000010943288217355054,3.27091519641779e-11
0.7,0.7438232892138191,0.25611193313218206,0.000026926759461929508,0.000010989013404133122,3.3249002473222875e-11
0.8,0.7426027578280621,0.25733197161858673,0.000027260295028001002,0.000011034475804581356,3.3788538747550756e-11
0.9,0.7413980995313997,0.25853613844112056,0.000027593623069554577,0.000011079687881959627,3.432780249118666e-11
1.,0.7402089144845316,0.25972483346943387,0.000027926720819747708,0.000011124648181194638,3.486676971014884e-11
